17/12/11 15:38
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	4060	50533	    235405	    279581	    9	
未翻訳：        	3782	46862	    218204	    259198	    9	
繰り返しを除いた：   	3207	43803	    202859	    241383	    8	
繰り返しを除いた未翻訳：	2944	40258	    186299	    221743	    8	


ファイルごとの翻訳状況：

ファイル名                   	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
mintworks_eng_rule.txt  	    243	   166	        231	           155	   1787	   915	       1736	           877	          8738	         4649	              8472	                 4445	         10164	         5325	              9861	                 5096	
pixie queen eng rule.txt	    653	   634	        579	           560	   7557	  7381	       7413	          7237	         34148	        33419	             33568	                32839	         40452	        39588	             39804	                38940	
posthuman_eng_rule.txt  	    771	   763	        670	           662	   8817	  8670	       8570	          8423	         40076	        39423	             38898	                38245	         48113	        47324	             46748	                45959	
Root_rule_eng.txt       	    528	   524	        472	           468	   5899	  5847	       5764	          5712	         28730	        28448	             28132	                27850	         33853	        33526	             33179	                32852	
Root紹介文.txt             	     17	     5	         17	             5	    269	    50	        269	            50	          1350	          265	              1350	                  265	          1601	          310	              1601	                  310	
rule_eng.txt            	    528	   524	          0	             0	   5899	  5847	          0	             0	         28730	        28448	                 0	                    0	         33853	        33526	                 0	                    0	
vast faq11.txt          	    568	   561	        520	           513	   8473	  8422	       8353	          8302	         38230	        37964	             37638	                37372	         45569	        45258	             44910	                44599	
vast_faq英語.txt          	    349	   319	        343	           314	   6386	  5920	       6310	          5869	         29862	        27706	             29519	                27478	         35791	        33200	             35378	                32926	
vivajava eng rule.txt   	    403	   286	        375	           267	   5446	  3810	       5388	          3788	         25541	        17882	             25282	                17805	         30185	        21141	             29902	                21061	
